 success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r
1,0.22,0.2,0.3,0.27,0.0,0.11,0.0,0.0,0.34,0.44,0.46,0.12,0.55,0.62
1,0.33,0.02,0.22,0.53,0.06,0.09,0.0,0.0,0.31,0.31,0.49,0.04,0.35,0.57
1,0.41,0.0,0.24,0.8,0.13,0.1,0.0,0.0,0.19,0.14,0.6,0.04,0.33,0.57
1,0.53,0.0,0.22,0.94,0.16,0.13,0.0,0.0,0.04,0.0,0.66,0.0,0.44,0.63
1,0.52,0.0,0.27,0.88,0.15,0.12,0.0,0.0,0.01,0.0,0.75,0.0,0.46,0.72
1,0.58,0.0,0.18,0.68,0.13,0.19,0.0,0.0,0.06,0.0,0.72,0.0,0.47,0.76
1,0.56,0.0,0.14,0.52,0.14,0.2,0.0,0.0,0.14,0.0,0.76,0.0,0.57,0.71
1,0.49,0.0,0.06,0.32,0.17,0.2,0.0,0.0,0.26,0.06,0.69,0.0,0.59,0.76
1,0.38,0.0,0.12,0.19,0.18,0.17,0.0,0.0,0.3,0.15,0.64,0.0,0.7,0.68
1,0.27,0.0,0.2,0.08,0.23,0.1,0.0,0.0,0.28,0.24,0.69,0.0,0.7,0.69
1,0.18,0.0,0.47,0.0,0.32,0.05,0.0,0.0,0.31,0.22,0.84,0.0,0.62,0.64
1,0.2,0.0,0.44,0.0,0.38,0.09,0.0,0.05,0.43,0.27,1.01,0.0,0.58,0.71
1,0.14,0.0,0.43,0.0,0.46,0.15,0.0,0.08,0.59,0.23,1.02,0.0,0.43,0.66
1,0.12,0.0,0.48,0.0,0.46,0.18,0.0,0.08,0.84,0.19,0.93,0.18,0.39,0.64
1,0.0,0.0,0.78,0.0,0.51,0.1,0.0,0.03,1.06,0.04,0.82,0.37,0.18,0.5
1,0.0,0.0,1.11,0.0,0.51,0.08,0.0,0.0,1.21,0.0,0.74,0.56,0.09,0.43
1,0.0,0.0,1.29,0.0,0.55,0.14,0.0,0.0,1.14,0.0,0.69,0.48,0.05,0.39
1,0.0,0.0,1.37,0.0,0.55,0.19,0.0,0.0,1.03,0.0,0.6,0.4,0.04,0.43
1,0.0,0.0,1.36,0.0,0.55,0.23,0.0,0.0,0.91,0.0,0.54,0.28,0.03,0.45
1,0.0,0.0,1.2,0.0,0.47,0.15,0.0,0.0,0.9,0.01,0.66,0.44,0.0,0.39
1,0.0,0.0,1.05,0.11,0.37,0.17,0.0,0.0,0.89,0.01,0.81,0.54,0.02,0.52
1,0.0,0.0,0.9,0.11,0.23,0.14,0.0,0.0,0.82,0.01,0.88,0.75,0.14,0.62
1,0.0,0.0,0.81,0.15,0.15,0.13,0.0,0.0,0.68,0.01,0.82,0.7,0.29,0.73
1,0.0,0.0,0.71,0.03,0.11,0.05,0.0,0.0,0.65,0.01,0.7,0.76,0.44,0.67
1,0.0,0.0,0.69,0.03,0.12,0.0,0.0,0.0,0.77,0.01,0.65,0.76,0.39,0.69
1,0.0,0.0,0.67,0.0,0.08,0.0,0.0,0.0,0.81,0.07,0.73,0.55,0.24,0.81
1,0.0,0.0,0.62,0.0,0.05,0.0,0.0,0.05,0.75,0.21,0.68,0.28,0.2,0.92
1,0.0,0.0,0.61,0.0,0.01,0.0,0.0,0.1,0.65,0.29,0.64,0.0,0.21,1.01
1,0.0,0.0,0.62,0.06,0.01,0.0,0.0,0.13,0.6,0.31,0.5,0.0,0.35,0.95
1,0.0,0.0,0.63,0.19,0.01,0.0,0.0,0.11,0.63,0.21,0.54,0.0,0.3,0.93
1,0.02,0.0,0.61,0.24,0.0,0.0,0.0,0.08,0.69,0.19,0.49,0.0,0.34,0.85
1,0.02,0.0,0.57,0.22,0.0,0.0,0.0,0.07,0.72,0.15,0.44,0.0,0.31,0.8
1,0.02,0.0,0.61,0.12,0.0,0.0,0.0,0.07,0.68,0.11,0.39,0.0,0.34,0.81
1,0.0,0.0,0.59,0.13,0.0,0.0,0.0,0.06,0.66,0.08,0.4,0.0,0.3,0.85
1,0.0,0.0,0.52,0.28,0.0,0.0,0.0,0.08,0.7,0.03,0.44,0.0,0.27,0.95
1,0.03,0.0,0.45,0.38,0.0,0.0,0.0,0.09,0.77,0.08,0.51,0.0,0.25,0.98
1,0.07,0.0,0.42,0.45,0.0,0.0,0.0,0.09,0.78,0.1,0.5,0.0,0.26,0.98
1,0.09,0.0,0.51,0.27,0.0,0.0,0.0,0.05,0.64,0.09,0.38,0.0,0.34,0.78
1,0.1,0.0,0.62,0.14,0.0,0.0,0.0,0.02,0.48,0.04,0.26,0.0,0.45,0.63
1,0.06,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.18,0.0,0.52,0.46
1,0.38,0.09,0.8,0.0,0.0,0.0,0.0,0.04,0.23,0.03,0.21,0.1,0.61,0.43
1,0.68,0.26,0.75,0.0,0.0,0.0,0.0,0.12,0.16,0.07,0.23,0.19,0.69,0.37
1,1.02,0.27,0.72,0.0,0.0,0.0,0.0,0.17,0.12,0.17,0.26,0.25,0.77,0.34
1,0.99,0.18,0.7,0.0,0.0,0.0,0.0,0.14,0.12,0.22,0.3,0.22,0.71,0.44
1,0.82,0.01,0.83,0.02,0.0,0.0,0.0,0.06,0.15,0.19,0.36,0.2,0.56,0.57
1,0.55,0.0,0.95,0.02,0.01,0.0,0.0,0.0,0.28,0.12,0.41,0.18,0.39,0.69
1,0.28,0.0,1.06,0.02,0.03,0.0,0.0,0.0,0.33,0.06,0.41,0.14,0.24,0.69
1,0.11,0.0,1.05,0.0,0.04,0.0,0.0,0.0,0.35,0.06,0.39,0.07,0.19,0.66
1,0.04,0.0,0.99,0.0,0.02,0.0,0.0,0.0,0.32,0.04,0.36,0.03,0.16,0.61
1,0.05,0.0,0.88,0.0,0.03,0.0,0.0,0.05,0.46,0.02,0.31,0.03,0.29,0.4
1,0.24,0.0,0.79,0.0,0.1,0.0,0.0,0.13,0.48,0.0,0.19,0.03,0.48,0.19
1,0.4,0.0,0.71,0.0,0.17,0.0,0.0,0.24,0.55,0.0,0.07,0.03,0.66,0.0
1,0.52,0.0,0.69,0.0,0.21,0.0,0.0,0.3,0.48,0.0,0.0,0.0,0.67,0.0
1,0.52,0.0,0.65,0.0,0.2,0.0,0.0,0.32,0.5,0.0,0.02,0.0,0.69,0.0
1,0.51,0.0,0.68,0.0,0.21,0.0,0.0,0.32,0.47,0.0,0.02,0.0,0.67,0.0
1,0.47,0.0,0.7,0.0,0.22,0.0,0.0,0.32,0.49,0.0,0.04,0.0,0.71,0.0
1,0.47,0.0,0.7,0.0,0.22,0.0,0.0,0.33,0.52,0.0,0.02,0.0,0.59,0.0
1,0.41,0.0,0.68,0.0,0.24,0.0,0.0,0.3,0.5,0.0,0.04,0.0,0.61,0.0
1,0.35,0.0,0.63,0.0,0.23,0.0,0.0,0.29,0.47,0.02,0.02,0.02,0.53,0.0
1,0.21,0.0,0.58,0.0,0.23,0.02,0.0,0.27,0.45,0.07,0.06,0.02,0.56,0.0
1,0.13,0.0,0.44,0.0,0.25,0.02,0.0,0.26,0.35,0.07,0.04,0.02,0.56,0.0
1,0.06,0.0,0.61,0.0,0.19,0.02,0.0,0.17,0.39,0.09,0.07,0.0,0.53,0.13
1,0.02,0.0,0.76,0.0,0.18,0.0,0.0,0.07,0.28,0.09,0.1,0.03,0.57,0.45
1,0.0,0.0,0.98,0.0,0.13,0.0,0.0,0.0,0.35,0.13,0.16,0.09,0.55,0.75
1,0.0,0.0,0.87,0.0,0.16,0.0,0.0,0.0,0.22,0.17,0.18,0.09,0.64,0.88
1,0.0,0.0,0.87,0.0,0.12,0.0,0.0,0.0,0.27,0.22,0.21,0.06,0.68,0.79
1,0.0,0.0,0.86,0.0,0.11,0.02,0.0,0.0,0.31,0.22,0.2,0.0,0.72,0.74
1,0.0,0.0,0.94,0.0,0.12,0.02,0.0,0.0,0.43,0.2,0.18,0.05,0.75,0.7
1,0.0,0.0,0.9,0.0,0.09,0.02,0.0,0.0,0.43,0.15,0.09,0.05,0.72,0.67
1,0.0,0.0,0.93,0.0,0.07,0.01,0.0,0.0,0.48,0.18,0.09,0.05,0.76,0.63
1,0.0,0.0,0.92,0.0,0.06,0.01,0.0,0.0,0.46,0.14,0.13,0.0,0.77,0.62
1,0.0,0.0,0.96,0.0,0.07,0.01,0.0,0.0,0.53,0.14,0.21,0.0,0.83,0.69
1,0.0,0.0,0.91,0.0,0.1,0.07,0.0,0.0,0.49,0.08,0.23,0.0,0.82,0.73
1,0.01,0.0,0.64,0.05,0.07,0.07,0.0,0.03,0.53,0.09,0.19,0.0,0.56,0.58
1,0.05,0.05,0.43,0.05,0.05,0.05,0.0,0.04,0.5,0.06,0.11,0.0,0.34,0.38
1,0.08,0.05,0.28,0.11,0.0,0.0,0.0,0.04,0.55,0.04,0.03,0.0,0.15,0.19
1,0.17,0.09,0.46,0.18,0.0,0.01,0.0,0.02,0.53,0.0,0.0,0.0,0.24,0.22
1,0.22,0.14,0.59,0.29,0.01,0.09,0.0,0.01,0.5,0.0,0.0,0.0,0.28,0.21
1,0.41,0.28,0.71,0.25,0.01,0.1,0.0,0.01,0.48,0.0,0.0,0.0,0.35,0.19
1,0.56,0.3,0.7,0.32,0.01,0.08,0.0,0.03,0.46,0.04,0.0,0.0,0.37,0.11
1,0.62,0.33,0.59,0.25,0.0,0.01,0.0,0.04,0.53,0.06,0.0,0.0,0.41,0.1
1,0.52,0.25,0.48,0.23,0.0,0.0,0.0,0.04,0.61,0.08,0.0,0.0,0.31,0.07
1,0.26,0.18,0.49,0.04,0.0,0.03,0.0,0.06,0.62,0.12,0.0,0.0,0.32,0.18
1,0.11,0.05,0.65,0.0,0.02,0.03,0.0,0.09,0.6,0.15,0.0,0.0,0.3,0.22
1,0.0,0.0,0.77,0.0,0.05,0.04,0.0,0.16,0.54,0.13,0.0,0.0,0.34,0.23
1,0.1,0.16,0.67,0.0,0.12,0.01,0.0,0.25,0.49,0.05,0.0,0.0,0.32,0.11
1,0.12,0.37,0.55,0.0,0.18,0.01,0.0,0.31,0.49,0.0,0.0,0.0,0.31,0.04
1,0.19,0.66,0.42,0.0,0.22,0.0,0.0,0.34,0.44,0.02,0.0,0.0,0.33,0.0
1,0.18,0.69,0.4,0.0,0.21,0.0,0.0,0.31,0.42,0.05,0.0,0.0,0.37,0.0
1,0.16,0.66,0.33,0.0,0.15,0.0,0.0,0.33,0.4,0.08,0.0,0.0,0.38,0.0
1,0.09,0.57,0.31,0.0,0.1,0.0,0.0,0.35,0.42,0.05,0.0,0.0,0.36,0.0
1,0.0,0.54,0.3,0.0,0.05,0.0,0.0,0.33,0.45,0.02,0.0,0.0,0.28,0.0
1,0.0,0.46,0.25,0.0,0.03,0.0,0.0,0.31,0.4,0.0,0.0,0.0,0.27,0.01
1,0.02,0.31,0.2,0.0,0.09,0.0,0.0,0.33,0.37,0.0,0.0,0.0,0.25,0.04
1,0.02,0.32,0.3,0.0,0.16,0.0,0.0,0.34,0.49,0.0,0.0,0.0,0.21,0.04
1,0.02,0.25,0.46,0.07,0.22,0.0,0.0,0.34,0.64,0.0,0.0,0.0,0.09,0.03
1,0.0,0.21,0.57,0.08,0.18,0.0,0.0,0.3,0.79,0.0,0.0,0.0,0.05,0.06
1,0.12,0.04,0.46,0.08,0.15,0.0,0.0,0.22,0.72,0.0,0.0,0.28,0.25,0.06
1,0.25,0.0,0.33,0.01,0.18,0.0,0.0,0.14,0.65,0.0,0.0,0.43,0.27,0.08
1,0.33,0.0,0.24,0.0,0.23,0.0,0.0,0.03,0.49,0.0,0.0,0.52,0.37,0.15
1,0.29,0.0,0.29,0.0,0.27,0.0,0.0,0.01,0.49,0.0,0.0,0.27,0.15,0.17
1,0.21,0.0,0.35,0.0,0.29,0.0,0.0,0.0,0.5,0.04,0.04,0.14,0.13,0.16
1,0.21,0.0,0.4,0.0,0.33,0.0,0.0,0.01,0.54,0.04,0.04,0.12,0.0,0.12
1,0.24,0.0,0.44,0.0,0.34,0.0,0.0,0.01,0.54,0.04,0.06,0.2,0.0,0.13
1,0.25,0.0,0.4,0.0,0.34,0.0,0.0,0.01,0.61,0.07,0.11,0.26,0.04,0.32
1,0.31,0.0,0.4,0.0,0.33,0.0,0.0,0.0,0.61,0.07,0.12,0.32,0.08,0.39
1,0.32,0.0,0.43,0.0,0.3,0.0,0.0,0.0,0.57,0.07,0.15,0.35,0.12,0.61
1,0.39,0.02,0.54,0.0,0.29,0.0,0.0,0.0,0.53,0.0,0.19,0.41,0.08,0.64
